origin,destination,count
ABX,ADL,7
ABX,BNE,6
ABX,BWT,2
ABX,CNS,5
ABX,DRW,2
ABX,MCY,2
ABX,MGB,1
ABX,OOL,5
ABX,PER,8
ABX,PQQ,2
ABX,SYD,104
ADL,AKL,39
ADL,AMS,6
ADL,ATH,6
ADL,ATL,1
ADL,BCN,1
ADL,BFS,5
ADL,BHD,1
ADL,BJM,1
ADL,BKK,1
ADL,BLC,5
ADL,BNE,126
ADL,BOG,3
ADL,BQB,1
ADL,BSL,1
ADL,CBR,8
ADL,CHC,4
ADL,CMB,3
ADL,CNS,20
ADL,CPD,3
ADL,CPT,2
ADL,DAR,1
ADL,DBO,1
ADL,DBV,2
ADL,DEL,12
ADL,DPS,25
ADL,DRW,29
ADL,DVO,4
ADL,DXB,4
ADL,EBB,3
ADL,EPR,1
ADL,FRA,2
ADL,FUK,2
ADL,HAM,1
ADL,HAN,5
ADL,HBA,10
ADL,HKT,16
ADL,HND,3
ADL,HNL,1
ADL,ICN,7
ADL,IKA,1
ADL,IST,1
ADL,JNB,1
ADL,JUB,3
ADL,KBP,1
ADL,KGC,62
ADL,KUL,1
ADL,LAS,2
ADL,LAX,7
ADL,LBA,1
ADL,LGA,2
ADL,LHR,8
ADL,LIS,1
ADL,LON,15
ADL,LPL,3
ADL,LYR,2
ADL,MAN,12
ADL,MCO,3
ADL,MCY,3
ADL,MEL,180
ADL,MIL,2
ADL,MKY,2
ADL,MNL,3
ADL,MWZ,1
ADL,NAN,4
ADL,NAP,1
ADL,NRT,4
ADL,NSN,1
ADL,NTL,6
ADL,NYC,4
ADL,OOL,64
ADL,OSA,3
ADL,PAR,4
ADL,PER,51
ADL,PLO,9
ADL,PNH,2
ADL,PPP,2
ADL,PRG,1
ADL,ROM,13
ADL,SGN,4
ADL,SYD,152
ADL,TKQ,1
ADL,TMW,1
ADL,TSV,2
ADL,TYO,12
ADL,VCE,4
ADL,VIE,1
ADL,WGA,5
ADL,WYA,66
ADL,YTO,4
ADL,ZQN,1
AKL,BNE,5
AKL,BNK,1
AKL,DPS,4
AKL,MEL,39
AKL,OOL,13
AKL,PER,14
AKL,SYD,14
AKL,ZQN,4
ALH,PER,1
ARM,SYD,86
ASP,ADL,3
ASP,BNE,2
ASP,CBR,3
ASP,CNS,3
ASP,DRW,3
ASP,MEL,3
ASP,PER,2
ASP,SYD,22
AVV,BKK,1
AVV,BNE,3
AVV,CNS,1
AVV,MCY,1
AVV,OOL,14
AVV,PER,1
AVV,PTJ,1
AVV,SYD,12
AVV,TYO,2
AYQ,CFS,2
AYQ,DRW,3
BDB,BNE,11
BDB,ISA,1
BHQ,SYD,7
BHS,BNE,1
BHS,SYD,3
BME,BNK,1
BME,CNS,1
BME,DPS,1
BME,MEL,8
BME,PAR,1
BME,PER,4
BME,SYD,1
BNE,ADL,63
BNE,AGP,1
BNE,AKL,69
BNE,AMD,5
BNE,AMS,5
BNE,APW,19
BNE,ARM,6
BNE,ASP,1
BNE,ATH,4
BNE,AUH,1
BNE,AVV,4
BNE,AYQ,14
BNE,BCN,1
BNE,BDB,9
BNE,BER,4
BNE,BFS,1
BNE,BJS,1
BNE,BKK,14
BNE,BLC,8
BNE,BOB,5
BNE,BOG,2
BNE,BUD,2
BNE,BWI,1
BNE,BZE,1
BNE,CAZ,1
BNE,CBR,79
BNE,CEM,2
BNE,CFS,2
BNE,CGY,3
BNE,CHC,23
BNE,CMB,2
